quote,author,author_image,book_reference,tags,likes,last_updated_at_UTC
“Be yourself; everyone else is already taken.”,Oscar Wilde,https://images.gr-assets.com/authors/1521044377p2/3565.jpg,,"attributed-no-source,be-yourself,gilbert-perreira,honesty,inspirational,misattributed-oscar-wilde,quote-investigator",158848,06-Nov-2021 07:50:29
"“I'm selfish, impatient and a little insecure. I make mistakes, I am out of control and at times hard to handle. But if you can't handle me at my worst, then you sure as hell don't deserve me at my best.”",Marilyn Monroe,https://images.gr-assets.com/quotes/1511992603p2/8630.jpg,,"attributed-no-source,best,life,love,mistakes,out-of-control,truth,worst",156320,06-Nov-2021 07:50:29
“Two things are infinite: the universe and human stupidity; and I'm not sure about the universe.”,Albert Einstein,https://images.gr-assets.com/authors/1429114964p2/9810.jpg,,"attributed-no-source,human-nature,humor,infinity,philosophy,science,stupidity,universe",138580,06-Nov-2021 07:50:29
"“So many books, so little time.”",Frank Zappa,https://images.gr-assets.com/authors/1315160559p2/22302.jpg,,"books,humor",136079,06-Nov-2021 07:50:29
“A room without books is like a body without a soul.”,Marcus Tullius Cicero,https://images.gr-assets.com/authors/1197881416p2/13755.jpg,,"attributed-no-source,books,simile,soul",126299,06-Nov-2021 07:50:29
"“Be who you are and say what you feel, because those who mind don't matter, and those who matter don't mind.”",Bernard M. Baruch,https://images.gr-assets.com/authors/1331977133p2/5768330.jpg,,"ataraxy,be-yourself,confidence,fitting-in,individuality,misattributed-dr-seuss,those-who-matter",124338,06-Nov-2021 07:50:29
"“You've gotta dance like there's nobody watching,Love like you'll never be hurt,Sing like there's nobody listening,And live like it's heaven on earth.”",William W. Purkey,https://images.gr-assets.com/authors/1282396130p2/1744830.jpg,,"dance,heaven,hurt,inspirational,life,love,sing",122341,06-Nov-2021 07:50:29
“You know you're in love when you can't fall asleep because reality is finally better than your dreams.”,Dr. Seuss,https://images.gr-assets.com/authors/1193930952p2/61105.jpg,,"attributed-no-source,dreams,love,reality,sleep",119255,06-Nov-2021 07:50:29
"“You only live once, but if you do it right, once is enough.”",Mae West,https://images.gr-assets.com/authors/1198551937p2/259666.jpg,,"humor,life",112115,06-Nov-2021 07:50:29
“Be the change that you wish to see in the world.”,Mahatma Gandhi,https://images.gr-assets.com/authors/1356810912p2/5810891.jpg,,"action,change,inspirational,philosophy,wish",109949,06-Nov-2021 07:50:29
“In three words I can sum up everything I've learned about life: it goes on.”,Robert Frost,https://images.gr-assets.com/authors/1605640483p2/7715.jpg,,life,104100,06-Nov-2021 07:50:29
